SNtype	Galtype	mag_g	bar
Ia        	 S        	18.42     	          
Ia        	 Sb       	17.07     	          
Ia        	 S        	18.27     	          
Ia        	 S        	18.21     	          
Ia        	 S        	17.86     	B         
Ia        	 S        	18.30     	          
Ia        	 S        	17.90     	          
Ia        	 E/S0     	16.41     	          
Ia        	 S        	17.60     	B         
Ia        	 S        	18.19     	          
Ia        	 Sb       	13.31     	          
Ia        	 Sbc      	13.60     	B         
II        	 Sc       	13.45     	          
II        	 Sc       	12.52     	          
II        	 Sc       	15.21     	B         
Ia        	 Sb       	13.98     	          
II        	 Sdm      	14.91     	          
II        	 Sbc      	14.66     	          
Ia        	 Sb       	17.26     	          
II        	 Scd      	13.10     	          
II        	 Sa pec   	14.89     	B         
Ia        	 Sb       	14.67     	B         
II        	 Sb       	13.45     	          
Ia        	 Sb       	15.97     	          
Ia        	 Sbc      	14.33     	B         
Ia        	 Sc       	15.00     	          
II        	 Scd      	13.65     	          
Ia        	 Sc       	15.21     	          
Ia        	 Sab      	14.67     	          
Ia        	 Sa pec   	11.30     	          
Ia        	 Sbc      	14.68     	B         
II        	 Sb       	14.57     	          
Ia        	 S0       	14.72     	          
II        	 Sb       	13.62     	B         
II        	 Sab      	13.72     	B         
Ia        	 S        	17.69     	          
Ia        	 Sbc      	13.34     	B         
II        	 Sd       	12.89     	B         
Ic        	 Sb       	14.41     	          
II        	 Scd      	16.68     	          
Ia        	 Sb       	16.12     	B         
Ia        	 Sb       	14.24     	B         
Ic        	 Sb       	16.62     	          
Ib/c      	 Scd      	13.09     	          
Ia        	 Sa pec   	11.30     	          
Ia        	 Sa       	15.10     	B         
Ia        	 Sb       	13.90     	B         
Ia        	 Sc       	14.45     	B         
Ib        	 Sm       	17.28     	          
Ia        	 S0/a     	14.42     	          
Ia        	 Sa       	13.78     	          
Ic        	 Sbc      	13.91     	          
Ia        	 Sbc      	11.96     	          
Ia        	 S0       	13.41     	          
Ia        	 Sc       	14.82     	B         
II        	 Sc       	14.24     	          
Ib/c      	 Sb       	13.98     	          
Ia        	 Sb       	15.07     	B         
Ia        	 E        	14.26     	          
Ia        	 S0/a pec 	13.28     	          
II        	 Sbc      	13.79     	          
II        	 Sbc      	14.99     	          
II        	 Sc       	15.31     	B         
Ia        	 S        	17.59     	          
Ia        	 S0/a     	15.88     	          
II        	 Sbc      	15.97     	          
Ia        	 S        	16.84     	          
II        	 Sc       	16.89     	          
Ia        	 Sbc      	11.75     	          
Ia        	 Sc       	18.58     	          
II        	 S        	20.00     	          
Ia        	 Sab      	14.80     	B         
Ia        	 S        	19.01     	          
II        	 Sbc      	13.86     	          
Ia        	 S        	17.06     	          
Ia        	 Sab      	16.04     	          
Ia        	 Sb       	12.23     	          
II        	 Sdm      	13.73     	          
II        	 S        	16.71     	B         
Ia        	 E/S0     	11.17     	          
II        	 Sdm pec  	14.13     	B         
Ic        	 Scd      	12.70     	          
Ic        	 Sbc      	12.95     	B         
Ia        	 E/S0     	13.78     	          
Ia        	 Sc       	13.79     	          
Ib        	 Sb       	14.23     	          
Ia        	 Sb       	14.01     	B         
Ia        	 S        	19.05     	          
Ia        	 S        	17.45     	          
II        	 S        	18.21     	          
Ia        	 S        	19.30     	          
Ic        	 Sc       	12.68     	B         
II        	 S        	16.65     	          
Ia        	 S        	14.05     	          
Ib/c      	 Sbc      	12.12     	          
Ic        	 Sbc      	14.23     	          
Ia        	 Scd      	13.21     	          
Ia        	 Scd      	12.90     	B         
Ia        	 Sab      	16.76     	          
II        	 S        	18.17     	          
Ib/c      	 Sab      	14.92     	          
Ia        	 Sc       	11.80     	B         
II        	 Scd      	14.88     	          
II        	 Sbc      	16.02     	          
Ia        	 S        	17.70     	          
Ia        	 Sbc      	15.70     	          
Ia        	 Sc       	14.20     	          
Ia        	 Sc       	17.02     	          
Ia        	 Sc       	16.17     	          
Ia        	 E        	14.53     	          
Ia        	 E/S0     	13.37     	          
Ia        	 Sb       	16.96     	          
Ia        	 Sb       	16.11     	          
