#RA	DEC	SNtype	Galtype2
216.57083	 26.24883	Ia       	S        
248.61546	 76.02967	Ia       	S        
128.82858	 28.46828	Ia       	S        
171.38388	 -1.73369	II       	S        
240.53854	 36.71889	Ia       	S        
193.92029	 27.25108	Ia       	S0       
321.49663	 -3.81300	Ic       	S        
200.43688	 31.24683	Ia       	S        
335.65633	 -4.12522	II       	S        
233.52792	 56.69061	II       	S        
344.50117	  6.06344	II       	S        
332.36567	 40.98792	II       	S        
176.21238	 -1.60511	II       	S        
358.38658	  8.11739	Ia       	S        
307.72533	 -0.65747	Ia       	S        
320.25721	  9.18067	Ia       	S        
178.43842	 52.34911	Ia       	S        
248.79563	 46.21403	Ic       	S        
251.23350	 51.25717	II       	S        
256.24758	 23.16839	II       	S        
347.01950	 28.56836	II       	S        
 67.68792	  0.87164	Ia       	S        
 33.00179	 31.54550	Ia       	S        
 27.96283	  6.29094	Ia       	S        
325.59858	 12.49747	Ib/c     	S        
 21.34542	 34.02514	Ia       	S        
 74.25108	 -4.76117	Ia       	S        
346.23658	 19.55133	Ic       	S        
 30.53446	 19.09097	Ia       	S        
 39.49500	 -1.02781	Ia       	S        
 48.27908	 42.43753	Ia       	S        
336.62821	 -6.39128	IIn      	S        
199.33354	 20.63606	Ia       	S        
 27.09258	 11.52622	IIn      	S        
  2.52563	 -0.43839	II       	S        
317.11121	 18.18806	II       	S        
333.62350	  5.02711	II       	S        
144.48763	 25.49492	Ia       	S        
134.25404	 13.19986	II       	S        
318.18846	 -0.87672	Ia       	S        
137.38825	 50.28092	Ia       	S        
149.75400	 17.82011	Ia       	S        
182.97158	 24.11372	II       	S        
 55.98867	 39.29428	IIn      	S        
347.68058	  7.56956	Ia       	E/S0     
348.29533	 10.77367	II       	S        
 10.52267	 36.80150	Ic       	S        
226.53917	 53.41156	II       	S        
135.18013	 17.62100	II       	S        
168.48358	 12.30217	II       	S        
159.99200	 24.09056	Ia       	S        
178.33983	 20.74814	Ia       	S        
171.33238	 63.72100	II       	S        
202.32054	 17.04478	II       	S        
152.98833	 58.86747	II       	S        
211.17892	 -9.70825	Ia       	S        
250.31288	 39.29569	II       	S        
188.73279	 15.56875	II       	S        
210.51308	-10.58997	Ia       	S        
125.69900	 24.29492	II       	S        
 40.48933	 -6.79622	II       	S        
174.43300	 22.00956	Ia       	S        
173.09146	  0.80244	II       	S        
249.37108	 40.88064	Ia       	S        
153.92629	 55.66853	Ia       	S        
224.91346	 13.21236	Ia       	S        
147.77733	  9.00158	II       	S        
203.22688	  9.52167	Ia       	S        
173.16267	 52.94839	Ia       	S        
154.52713	 21.82825	Ia       	S        
158.53717	 19.70569	Ia       	S        
117.50471	 30.02561	IIn      	S        
139.97908	 37.20231	II       	S        
216.16883	 26.62631	Ia       	S0       
186.96942	 27.00169	II       	S        
203.13129	  1.84514	II       	S        
196.09988	 47.59811	IIn      	S        
128.50821	 55.65344	Ia       	S        
305.89342	 58.34650	Ia       	S        
128.34208	 29.53361	II       	S        
247.25200	 41.28344	Ic       	S        
168.63217	 33.80508	II       	S        
243.90813	 31.32150	Ia       	S        
236.75313	 -0.99042	Ia       	S        
206.04142	 -0.21606	Ic       	S        
149.89979	 35.39928	Ib/c     	S        
154.51533	 21.83500	Ia       	S        
218.71513	 48.66469	Ia       	S        
244.12658	 35.70839	Ia       	S        
311.41388	 -4.95131	Ia       	S        
224.31788	  5.90017	Ib       	S        
253.09708	 30.71111	Ia       	S0       
274.43133	 22.24817	Ia       	S        
328.59363	 15.16172	Ic       	S        
352.12550	 22.42744	Ia       	S        
342.75417	 31.37306	Ia       	S0       
359.27804	 29.83764	Ia       	S        
352.09696	 -2.80472	II       	S        
  3.39200	 -5.09603	Ib/c     	S        
 32.10450	 14.34800	IIn      	S        
334.77183	 24.59439	Ia       	S        
229.85371	 20.88722	Ia       	E        
 36.53521	 31.91256	Ia       	S0       
256.34425	 75.40672	II       	S        
 93.96792	 64.43031	II       	S        
344.92008	 24.07153	II       	S        
329.34025	 -7.85689	Ia       	S        
 27.43167	 32.62861	Ia       	S0       
313.62708	 -0.14056	II       	S        
347.55138	  7.54997	Ia       	S        
313.09075	  2.14497	II       	S        
130.18792	 -4.12736	IIn      	S        
 50.52379	-15.40089	Ia       	S        
343.50367	 14.65681	Ia       	S        
332.48329	 12.08517	II       	S        
196.98025	 34.08514	Ia       	S        
340.83879	 -0.11472	Ia       	S        
348.65408	  4.50158	II       	S        
313.82450	 -0.07261	Ia       	S        
 29.22733	 -1.11361	Ia       	S        
311.82742	  0.31267	Ia       	S        
159.29417	 12.65356	II       	S        
 44.53892	  4.68439	II       	S        
171.16717	 38.76750	Ia       	E/S0     
179.62325	 27.52919	II       	S        
122.56229	 33.95539	Ic       	S        
183.82488	 65.98197	Ic       	S        
140.54546	 33.83633	Ia       	E/S0     
  1.70442	  8.63014	Ia       	S        
336.95642	 38.58597	Ib       	S        
200.61183	 -2.41781	Ia       	S        
 26.41050	 24.13553	Ia       	S        
330.46842	 -1.17336	Ia       	S        
338.02942	  0.91556	II       	S        
  3.38792	-10.21942	Ia       	S        
163.65983	-21.06489	Ic       	S        
  6.84342	 24.18308	II       	S        
334.87000	 29.38458	Ia       	S        
170.72146	 16.58611	Ib/c     	S        
 54.87313	-13.11550	Ic       	S        
219.56842	 40.45389	Ia       	S        
 20.31779	 40.49869	Ia       	S        
241.73300	 55.47172	Ia       	S        
249.85388	 41.79139	II       	S        
162.14108	 66.37483	Ib/c     	S        
161.65342	 13.75894	Ia       	S        
139.80525	 48.96919	II       	S        
224.11696	 45.35256	II       	S        
142.09408	 27.44464	Ia       	S        
167.59038	 23.41414	Ia       	S        
171.50758	  1.98411	Ia       	S        
 70.78558	  0.76678	Ia       	S        
195.24450	 39.85681	Ia       	S        
201.97313	 28.50811	Ia       	E        
242.79817	 61.26617	Ia       	E/S0     
122.14804	  7.77839	Ia       	S        
122.10979	 12.33228	Ia       	S        
150.02613	 28.28111	Ia       	S        
185.67558	  9.33367	II       	S        
209.37771	  6.09344	II       	S        
121.84529	 40.39564	Ic       	S        
126.86588	 17.28736	Ib       	S        
110.54967	 40.46708	II       	S        
 10.33713	 -1.71503	II       	S        
167.59929	  4.82664	II       	S        
196.90438	 -0.94719	II       	S        
122.29638	 57.68722	Ia       	S        
179.05904	 60.52197	Ia       	S        
224.64804	 44.88511	Ic       	S        
140.94817	 42.18017	II       	S        
144.24513	 31.33381	II       	S        
154.74313	 46.45431	Ic       	S        
311.82317	  0.31189	Ia       	S        
218.64917	 59.33439	Ia       	S        
224.52050	 58.88053	IIn      	S        
167.10142	  3.49639	Ia       	S        
247.16792	 12.76828	IIn      	S        
189.79625	  0.72511	II       	S        
259.63542	 41.66689	Ia       	S        
197.44250	 28.90600	Ic       	S        
320.28058	 23.08494	Ia       	S0       
190.79946	 -2.50114	Ia       	S        
 77.88746	 17.05789	Ia       	S        
205.43208	 40.87736	Ia       	S        
 32.11721	  6.39775	IIn      	S        
245.03646	 37.79825	Ia       	S        
345.42913	  2.26908	Ib       	S        
358.47496	  7.95658	Ia       	S        
338.46533	 20.80236	Ia       	S        
240.98113	 25.00689	II       	S        
345.74771	 34.72211	II       	S        
 17.22158	 32.09981	II       	S        
359.73771	 -2.24808	Ia       	S        
357.85054	 20.11064	II       	S        
  0.02950	  8.27842	Ia       	E/S0     
239.14083	 41.89653	II       	S        
231.08546	 29.95331	Ia       	S        
 41.60704	  3.60897	II       	S        
 29.83867	 19.00403	II       	S        
 42.24329	  3.16878	Ia       	S        
265.07788	 51.02814	Ic       	S        
248.42042	 50.37714	Ia       	S        
287.88083	 77.89311	Ia       	S        
 45.45842	 35.74344	Ia       	S0       
328.59471	 15.16033	IIn      	S        
141.87283	  3.92933	Ib       	S        
244.42154	 35.00200	Ia       	S0       
 10.45929	 -9.30528	Ia       	E/S0     
 55.99050	 39.29533	Ib/c     	S        
 11.24700	 -8.88653	Ia       	S        
 53.88879	  5.06464	Ia       	S        
  8.31983	  7.90542	II       	S        
 29.83300	 18.99494	II       	S        
  1.45196	 27.45267	Ia       	S        
 28.85229	 21.28511	Ia       	S        
324.92929	  6.28417	II       	S        
245.43008	 55.08478	II       	S        
 15.52813	 26.93925	Ia       	E        
182.74050	 50.47550	II       	S        
222.34283	 63.26839	Ia       	S        
132.34267	 36.71572	II       	S        
268.38938	 64.17003	II       	S        
351.51367	 -8.98964	Ib/c     	S        
146.61946	 45.75131	Ia       	E        
146.64300	 30.65528	Ia       	S        
 45.19083	 44.45361	Ia       	E        
146.47067	 34.68372	IIn      	S        
330.89433	 15.10294	Ia       	E        
169.55088	 30.39486	II       	S        
121.05146	 84.64092	II       	S        
179.52625	 47.33319	II       	S        
144.64696	 52.29811	Ia       	E        
