RA	DEC	SNtype	Galtype	mag_g	bar
 37.34725  	 -7.87436  	   Ia      	NA         	NA         	NA         
 17.70004  	  0.22686  	   Ia      	NA         	NA         	NA         
 16.99238  	  0.46361  	   Ia      	NA         	NA         	NA         
 17.83550  	 -0.20536  	   Ia      	NA         	NA         	NA         
 18.52175  	 -0.60711  	   II      	NA         	NA         	NA         
 31.30554  	 -5.02847  	   Ia      	NA         	NA         	NA         
 31.38738  	 -5.04628  	   Ia      	NA         	NA         	NA         
 37.13879  	 -8.59047  	   Ia      	NA         	NA         	NA         
 37.14325  	 -8.39708  	   Ia      	NA         	NA         	NA         
 37.52979  	 -8.71925  	   Ia      	NA         	NA         	NA         
 17.63313  	  0.59706  	   Ia      	NA         	NA         	NA         
 31.85058  	 -3.86533  	   Ia      	NA         	NA         	NA         
 32.56471  	 -4.06847  	   Ia      	NA         	NA         	NA         
 37.55479  	 -9.26094  	   Ia      	NA         	NA         	NA         
 17.29100  	 -0.23364  	   Ia      	NA         	NA         	NA         
 31.62867  	 -4.16528  	   Ia      	NA         	NA         	NA         
 32.40354  	 -4.86450  	   Ia      	NA         	NA         	NA         
 31.52167  	 -4.02708  	   Ia      	NA         	NA         	NA         
 38.73800  	 -8.06672  	   Ia      	NA         	NA         	NA         
 38.32929  	 -8.54172  	   Ia      	NA         	NA         	NA         
 17.72917  	 -0.38144  	   Ia      	NA         	NA         	NA         
 31.81888  	 -4.70644  	   Ia      	NA         	NA         	NA         
 18.12171  	  0.28367  	   Ia      	NA         	NA         	NA         
 18.59471  	  1.12933  	   Ia      	NA         	NA         	NA         
 18.79996  	 -0.03567  	   Ia      	NA         	NA         	NA         
 32.48363  	 -4.48261  	   Ia      	NA         	NA         	NA         
 31.08879  	 -3.90303  	   Ia      	NA         	NA         	NA         
 32.17329  	 -3.56958  	   Ia      	NA         	NA         	NA         
 36.97863  	 -8.01533  	   Ia      	NA         	NA         	NA         
 37.59850  	 -9.20556  	   Ia      	NA         	NA         	NA         
 18.50425  	  0.89653  	   Ia      	NA         	NA         	NA         
 18.67992  	  0.90769  	   Ia      	NA         	NA         	NA         
 37.54083  	 -7.68031  	   Ia      	NA         	NA         	NA         
152.33325  	 14.99244  	   Ia      	 Sa        	15.88      	B          
137.39700  	 33.11922  	   Ib      	 Sc        	12.58      	           
156.77325  	 -3.30142  	   Ia      	 S0        	17.08      	           
216.59683  	 35.59142  	   IIn     	NA         	NA         	NA         
189.47263  	 34.02667  	   II      	 Sc        	14.83      	           
173.69133  	 53.96411  	   Ia      	NA         	NA         	NA         
178.43825  	 48.42264  	   Ia      	 Sc        	18.61      	           
192.40479  	 28.32958  	   Ia      	 S         	17.59      	           
149.01333  	 10.49967  	   Ia pec  	 Sbc       	14.57      	           
224.86875  	 16.65342  	   Ia      	 S0        	13.62      	           
162.95188  	  3.77658  	   Ia      	 S0/a      	15.60      	           
164.41654  	 37.66164  	   Ia      	 E/S0      	14.35      	           
203.27638  	 33.14972  	   IIn     	 Scd       	14.92      	B          
 47.35500  	 80.13011  	   II      	 Sd        	13.64      	B          
 41.53013  	 -7.64272  	   II      	 S0/a      	15.28      	           
187.15104  	 15.58031  	   IIn     	NA         	NA         	NA         
264.61742  	 61.03714  	   Ic      	 Sbc       	14.14      	           
 46.94442  	 38.36839  	   Ic      	 Sd        	14.93      	B          
186.15800  	 10.83817  	   Ia      	 Sb        	15.51      	B          
172.64146  	 13.15147  	           	 S         	18.04      	           
224.35946  	 23.39675  	           	 S         	17.13      	           
187.67000  	 41.63736  	:  IIb     	 Scd pec   	NA         	NA         
193.85983  	 52.27097  	   IIb     	 Sbc       	14.03      	B          
257.10846  	 25.51722  	   II P    	 Sc        	13.55      	           
225.68188  	 23.33550  	   IIn     	 Scd       	13.63      	           
241.45488  	 19.45478  	   Ia      	NA         	NA         	NA         
118.83133  	 20.65233  	   II      	NA         	NA         	NA         
181.01208  	 20.24517  	   Ia      	 E         	13.47      	           
192.79954  	 26.29450  	   Ia      	NA         	NA         	NA         
130.19229  	 -4.11925  	   II      	 Sbc       	12.16      	B          
128.97246  	  0.70642  	   Ia      	 Sab       	12.52      	           
177.94917  	 46.87494  	   II      	 Sdm       	16.32      	B          
217.54925  	 27.53489  	   II      	 Scd       	14.14      	B          
195.74492  	 10.50750  	   IIn     	 Sc        	15.91      	           
184.10592  	 47.02792  	   II      	 Sb        	13.96      	B          
118.82867  	 53.32872  	   Ib      	 Sc        	13.90      	           
133.47767  	 35.14931  	   Ia      	 S         	NA         	B          
223.66250  	 42.02292  	   II      	 Sm        	NA         	B          
181.33742  	 40.94600  	   Ia      	NA         	NA         	NA         
189.74058  	 11.12950  	   Ia      	 Sb        	17.12      	           
187.25533  	 12.37189  	   Ia      	NA         	NA         	NA         
187.82875  	  8.38836  	   Ia      	 S         	18.05      	B          
238.56313  	 10.97361  	   IIn     	 Scd       	18.34      	           
309.72717  	 -5.63678  	   II      	 Sc        	13.21      	           
359.19175  	 -2.63850  	   II P    	 Sb        	14.31      	B          
187.96129  	 14.02044  	   Ia      	NA         	NA         	NA         
230.67625  	 30.36889  	   Ia      	NA         	NA         	NA         
242.76813  	 52.45222  	   Ia      	 S0        	14.81      	           
175.89350  	 46.36767  	   Ia      	NA         	NA         	NA         
330.60200  	 18.32261  	   Ia      	 Sb        	13.88      	B          
248.15946  	 41.45922  	   IIb     	 Sm        	16.82      	           
 14.19125  	 -9.90528  	   IIb     	 Sc        	12.30      	B          
170.79542  	 34.21417  	   Ia      	 Sdm       	16.77      	B          
137.37771  	 33.13897  	   Ib      	 Sc        	12.58      	           
  3.66400  	 -7.32319  	   Ia      	 S0        	12.33      	           
251.87271  	  9.30717  	   Ib/c    	NA         	NA         	NA         
256.01500  	 21.59500  	           	NA         	NA         	NA         
241.60442  	 10.08928  	           	NA         	NA         	NA         
194.71063  	 24.38261  	           	 S         	17.94      	           
  8.79717  	 23.25419  	   Ia      	 Sc        	16.52      	           
184.17304  	 41.03644  	   II P    	 Im        	17.63      	           
229.91975  	  6.28139  	   II P    	NA         	NA         	NA         
224.05554  	 18.85392  	   Ia      	NA         	NA         	NA         
229.87654  	 48.89911  	   Ia      	NA         	NA         	NA         
175.84650  	 46.08300  	   Ia      	NA         	NA         	NA         
196.30617  	 31.99317  	   II P    	 Sbc       	14.73      	           
241.51296  	 55.42706  	   Ic      	 Sbc pec   	14.22      	B          
332.71529  	  2.10822  	   Ia      	 Sbc       	14.17      	B          
  7.46179  	 31.39275  	   Ia pec  	 Sc        	14.75      	           
254.12733  	 27.97589  	   Ia      	 S0/a      	14.28      	           
344.04933  	  3.92650  	   Ic      	 Sb        	13.72      	B          
210.23446  	 41.00806  	   II      	 Im        	15.41      	           
195.05963  	 27.95456  	   Ia      	 S0        	14.24      	           
200.79967  	 43.09286  	:  II      	 Sc        	13.30      	           
171.40396  	 52.14053  	   Ia      	NA         	NA         	NA         
350.09408  	 27.31950  	   II P    	 Sc        	13.61      	           
345.81900  	  8.87217  	   Ia      	 Sab       	12.58      	           
 14.13733  	 -1.77111  	   Ia      	 S0        	13.41      	           
 27.90113  	 19.10469  	   Ia      	 Sbc       	14.21      	B          
  6.99692  	 30.76353  	   II      	 Sbc       	15.48      	           
241.38821  	 17.59256  	   Ia      	 S0/a      	NA         	B          
347.20442  	 20.07211  	   II P    	 Sbc       	15.42      	           
 13.80650  	 35.44061  	   IIn     	 Sd        	15.73      	B          
 10.46683  	 32.99033  	   Ia      	 Sd        	15.45      	           
 19.41950  	 43.64414  	   Ia      	 Sb pec    	14.36      	           
255.03000  	 23.13239  	   Ia      	 Sb        	NA         	           
179.20471  	 54.45714  	   II L    	NA         	NA         	NA         
240.75871  	 39.64561  	   II      	 Scd       	14.17      	           
254.62050  	 20.04389  	   Ic      	 Sc        	13.98      	B          
 42.92663  	 42.83097  	   Ia      	 S0/a      	13.59      	B          
203.73029  	 13.73017  	:  Ia      	 E         	13.46      	           
 43.72963  	 -6.36575  	   II P    	 Sb        	13.66      	B          
223.45108  	 20.11264  	   II P    	 Sbc       	14.82      	B          
 49.68375  	 41.48256  	   Ia      	 Sbc       	14.02      	B          
 50.07767  	 41.36222  	   Ia      	 E/S0      	13.56      	           
 28.34654  	 29.35789  	   IIb     	NA         	NA         	NA         
258.20775  	 42.81439  	   Ia      	 E/S0      	13.70      	           
 38.52108  	  1.39514  	   Ia      	 S         	18.34      	           
357.26463  	 26.79425  	   IIn     	 Sc        	14.44      	B          
245.45221  	 37.06139  	   Ib/c    	 S         	17.33      	           
250.05192  	 39.73217  	   Ic      	 Sd        	15.75      	           
 17.95475  	 14.64083  	   Ia      	NA         	NA         	NA         
 17.27396  	 14.75469  	   Ib/c    	 Sb        	16.45      	B          
 32.89158  	 23.88044  	   Ia      	NA         	NA         	NA         
349.06917  	 11.71319  	   IIn     	NA         	NA         	NA         
 20.18346  	 14.69361  	   II      	 Sc        	17.19      	           
146.13083  	 55.75864  	   II      	 Sd        	15.11      	           
 41.00138  	  5.42856  	   II      	 Sd        	14.55      	B          
339.11904  	 21.63203  	   Ic      	 Sbc       	13.26      	B          
 20.22842  	  4.80531  	   Ia      	 E         	14.55      	           
348.55163  	 -2.78122  	   IIn     	 Sa        	14.85      	           
 61.62292  	 14.87056  	   Ia      	NA         	NA         	NA         
 21.77408  	  3.21825  	   Ia      	NA         	NA         	NA         
341.18204  	 -3.14753  	   Ia      	 Sbc       	17.90      	           
 18.42288  	  4.78833  	   II      	 S         	16.75      	           
 28.13213  	 33.46444  	           	NA         	NA         	NA         
 69.85921  	  9.14211  	   Ia      	 S         	17.76      	           
 47.50400  	 19.22308  	   Ia      	 E         	16.76      	           
171.26350  	 -9.79750  	   II      	 Sc        	11.58      	           
353.71954  	 18.22650  	   Ia pec  	 Im        	13.93      	           
336.30846  	 -1.71994  	   Ia      	NA         	NA         	NA         
354.61467  	 23.56231  	   Ia      	NA         	NA         	NA         
358.53267  	-10.26206  	   Ia pec  	NA         	NA         	NA         
  4.88008  	 28.86250  	   Ia      	 S         	19.10      	           
 21.51521  	 11.44069  	   Ic      	 Sc        	14.28      	           
  6.67917  	 -3.59817  	   Ia      	 Sb        	14.13      	           
  1.00796  	-11.16875  	   Ia      	 Sc        	14.86      	           
138.18179  	  9.92997  	   Ia      	NA         	NA         	NA         
345.16813  	  8.46542  	           	 Sc        	14.43      	           
123.55938  	 21.36053  	   Ic      	 Sb        	12.92      	           
145.85925  	 25.17275  	   Ia      	NA         	NA         	NA         
139.71850  	 18.95567  	   Ia      	 S0/a      	16.75      	           
141.09788  	 28.29533  	   Ib      	 Sbc       	14.21      	B          
136.89192  	  3.39225  	   Ia      	 S0        	12.79      	           
153.25342  	 17.03592  	   II P    	 Sb        	14.10      	           
 10.82758  	 42.17061  	   Ia      	 S         	17.64      	           
179.04025  	 60.52542  	   II      	 Sc        	13.04      	           
187.60925  	 41.60447  	   II      	NA         	NA         	NA         
 36.94500  	 -4.57975  	   Ia      	NA         	NA         	NA         
 40.83667  	  4.97197  	   IIb     	 Sc        	12.26      	           
185.50738  	  4.47986  	   II P    	 Sbc       	NA         	B          
194.45917  	 36.37597  	   IIn     	 Sbc       	14.07      	           
159.86192  	  5.09006  	   Ia      	           	NA         	           
124.05183  	 -7.35897  	   Ia      	NA         	NA         	NA         
113.80846  	 39.28114  	   Ia      	NA         	NA         	NA         
  5.13117  	 28.92531  	   Ia      	NA         	NA         	NA         
 69.23000  	 -0.35989  	   Ic      	NA         	NA         	NA         
144.95796  	  7.06328  	           	 Sdm       	17.10      	           
346.58346  	  9.67711  	   Ia      	NA         	NA         	NA         
  9.26988  	 -6.16089  	   Ia      	NA         	NA         	NA         
242.15513  	  4.27408  	   IIn     	NA         	NA         	NA         
148.96479  	 69.67939  	   II      	 Scd pec   	NA         	           
356.05342  	  7.87322  	   IIn     	NA         	NA         	NA         
 49.31938  	 41.38267  	   Ia      	 E/S0      	14.18      	           
184.98242  	  5.33925  	   II      	 Sc        	12.11      	B          
 21.23846  	  9.55042  	   Ia      	 S0/a      	10.74      	           
209.95113  	 40.38100  	   II      	 Sc        	15.82      	           
182.45138  	 58.85044  	   II P    	 Sd        	14.23      	B          
169.87738  	 54.46283  	   Ia      	 Sbc       	16.18      	B          
145.81354  	 36.28442  	   Ia      	 S         	17.80      	           
 28.18475  	 -3.39672  	   II P    	 Sd        	16.03      	B          
 32.12546  	 12.73847  	           	 Sab       	16.13      	B          
249.87029  	 21.31544  	   Ia      	 Sbc       	14.50      	B          
 30.90154  	 24.07803  	   II      	 Sd        	13.46      	B          
227.89967  	  5.39653  	   Ia      	 Sc        	14.31      	           
156.26400  	 17.97258  	           	 S0        	17.05      	           
162.84196  	  8.57853  	   Ia      	 E         	13.90      	           
149.08167  	 16.83447  	   II P    	 Sbc       	13.88      	           
185.69750  	 65.85125  	   Ia      	 Sab       	12.90      	B          
144.53558  	  9.51686  	   II P    	 Sc        	13.30      	           
148.85713  	 -1.47258  	   IIb     	NA         	NA         	NA         
206.61117  	 46.10242  	   II      	 Sc        	12.38      	           
215.98258  	 35.18478  	   Ia      	 S         	17.87      	           
267.09571  	 54.14853  	   II      	 Sc        	14.04      	           
163.98425  	 36.86194  	           	 Sab       	14.26      	           
149.75800  	 17.81669  	           	 Sc        	14.17      	           
120.19700  	 46.94828  	   Ia      	NA         	NA         	NA         
138.64233  	 51.17492  	   Ia      	NA         	NA         	NA         
175.47521  	 10.42947  	   Ia      	 Sab       	18.96      	           
181.71529  	 26.96017  	   Ia      	 S         	19.14      	           
201.79375  	 31.50903  	   Ia      	NA         	NA         	NA         
186.20900  	  8.43267  	   Ic      	 Sbc       	17.29      	           
217.41504  	 39.15911  	   Ia      	NA         	NA         	NA         
214.74450  	 35.38781  	   II      	 S         	18.61      	           
213.93038  	 16.19975  	   II      	 Sb        	16.17      	           
229.13125  	 54.45983  	   II      	 Sb        	16.40      	B          
129.17367  	  9.23481  	           	NA         	NA         	NA         
213.16975  	 13.16281  	           	NA         	NA         	NA         
186.96563  	 26.43294  	           	NA         	NA         	NA         
211.95729  	 36.64364  	   Ia pec  	NA         	NA         	NA         
201.73417  	 52.75486  	   Ia pec  	 E/S0      	13.98      	           
196.83529  	 35.78439  	   Ia      	 Sc        	15.33      	           
152.29208  	  7.90956  	   Ia      	NA         	NA         	NA         
168.48425  	  4.29958  	   II P    	 Sbc       	14.59      	           
229.85850  	 11.05836  	   II P    	 Sd        	14.78      	           
194.81604  	 27.27814  	:  Ia      	NA         	NA         	NA         
140.99733  	 14.16425  	   Ia      	 S         	19.01      	           
155.82746  	 49.08792  	   II P    	NA         	NA         	NA         
217.75471  	 25.78275  	   Ia      	NA         	NA         	NA         
223.40558  	 18.35231  	   Ib      	NA         	NA         	NA         
186.57433  	 48.44708  	   Ia      	 S         	19.42      	           
146.37692  	  6.54028  	   Ia      	 S         	17.72      	           
140.56538  	 45.74817  	   Ia      	NA         	NA         	NA         
200.43813  	 42.55172  	   Ia      	NA         	NA         	NA         
178.67596  	 55.30297  	   Ia      	NA         	NA         	NA         
165.77767  	 50.16008  	   Ia      	NA         	NA         	NA         
186.14713  	 47.23800  	   Ia      	 S         	18.19      	           
138.80304  	 19.09619  	   Ia      	 S         	19.45      	           
176.70883  	 11.79869  	   II      	 S         	19.30      	           
169.52692  	 12.89531  	   Ia      	NA         	NA         	NA         
213.83067  	 16.42056  	   Ia      	NA         	NA         	NA         
198.84646  	 46.41928  	   II      	 Sbc       	16.33      	           
202.30267  	 46.72431  	   Ia      	NA         	NA         	NA         
175.55783  	 10.64833  	:  II      	NA         	NA         	NA         
226.25821  	 48.66775  	   IIn     	NA         	NA         	NA         
186.16333  	  8.93311  	   Ia      	NA         	NA         	NA         
145.23100  	  1.26897  	   II P    	NA         	NA         	NA         
138.75008  	 29.73531  	   Ia      	 Sa        	13.25      	           
325.53000  	 -6.77378  	   Ia      	 Sab       	16.71      	B          
215.47763  	 26.01722  	   Ia      	NA         	NA         	NA         
237.80050  	 25.70778  	   Ia      	 S0/a      	14.51      	           
181.39208  	 50.53850  	   II      	 Sbc       	11.00      	           
195.15621  	 17.84917  	   Ic      	NA         	NA         	NA         
241.46946  	 17.41264  	   Ia      	NA         	NA         	NA         
173.43721  	 14.57997  	   Ia      	NA         	NA         	NA         
209.58075  	 20.18086  	   II P    	NA         	NA         	NA         
174.24108  	 45.01408  	   Ic      	NA         	NA         	NA         
209.64479  	 31.21453  	   Ia      	NA         	NA         	NA         
172.59850  	  2.24311  	   Ia      	NA         	NA         	NA         
172.58392  	 44.16367  	   II P    	 Sb        	15.03      	           
174.41388  	 46.95314  	   II L    	 Sb        	15.79      	B          
188.74313  	 50.85122  	   Ia      	 Sab       	15.54      	B          
221.17533  	 49.72914  	   Ia      	NA         	NA         	NA         
201.16729  	 16.56819  	   II P    	NA         	NA         	NA         
204.03938  	 34.05528  	   II P    	NA         	NA         	NA         
252.35696  	  5.88003  	   Ia      	NA         	NA         	NA         
225.26679  	 43.22053  	   Ia      	NA         	NA         	NA         
188.89904  	  1.87017  	           	NA         	NA         	NA         
182.45650  	 58.84731  	   II P    	 Sd        	14.23      	B          
221.75996  	  9.96039  	           	 Sc        	17.66      	           
148.66813  	 19.18686  	           	NA         	NA         	NA         
166.62038  	 24.08761  	           	NA         	NA         	NA         
140.92258  	 50.40311  	           	 Sbc       	16.63      	           
170.35542  	 34.33981  	   Ia      	 S0        	14.09      	           
229.80238  	  6.35811  	   Ib      	NA         	NA         	NA         
223.56446  	 18.96467  	   Ia      	 S0/a      	16.76      	           
230.15867  	  7.65903  	   Ia      	 S0        	17.05      	           
218.07192  	 25.60439  	   Ia      	NA         	NA         	NA         
227.74804  	  6.55278  	   Ia      	NA         	NA         	NA         
229.94483  	 48.53072  	   Ia      	NA         	NA         	NA         
  8.68554  	 -8.39933  	   Ic      	 Sbc       	10.79      	           
221.59425  	 13.02417  	   Ia      	 Sc        	14.91      	B          
224.53329  	  2.43425  	   IIn     	 Sc        	15.51      	           
208.04433  	  2.32419  	   Ia      	 E         	13.18      	           
280.03458  	 40.12681  	   Ia      	 S0        	14.37      	           
234.87433  	 24.43481  	   Ib      	 Sdm       	17.66      	           
190.94354  	 10.77328  	   II P    	 Sbc       	14.43      	           
247.17138  	 39.55347  	   Ia      	 E         	13.01      	           
249.74938  	 17.98281  	   Ia      	NA         	NA         	NA         
264.60863  	 53.38353  	   Ia      	 S         	17.81      	B          
212.31950  	 53.10356  	   Ia      	NA         	NA         	NA         
198.22704  	 43.47664  	   Ia      	NA         	NA         	NA         
251.67842  	 75.25794  	   Ia      	 Sc        	15.90      	           
222.50050  	 44.91828  	   Ia      	 Sb        	16.61      	           
231.95246  	 41.59281  	   Ia      	 S         	17.62      	           
232.29567  	 40.79411  	   Ia      	NA         	NA         	NA         
251.89504  	 49.83344  	   II      	 S0        	16.56      	           
248.29550  	 53.09189  	   Ia      	NA         	NA         	NA         
193.59888  	 56.73258  	   Ia      	NA         	NA         	NA         
236.16154  	 45.79756  	   Ia      	NA         	NA         	NA         
211.52417  	 11.78719  	   IIb     	 Sdm       	15.20      	B          
341.09958  	 -0.16167  	   Ia      	 Sbc       	13.21      	           
246.29208  	 40.88911  	   Ia      	 E         	13.14      	           
186.21317  	 24.58414  	           	NA         	NA         	NA         
210.06217  	 20.29164  	           	NA         	NA         	NA         
226.64508  	 21.85419  	           	NA         	NA         	NA         
161.34242  	 10.95472  	           	NA         	NA         	NA         
177.29338  	 34.41458  	           	NA         	NA         	NA         
274.79971  	 42.80606  	   IIn     	 Scd       	14.43      	           
216.02513  	  7.76953  	   Ia      	 E/S0      	16.25      	           
247.43425  	 40.81161  	   Ia      	 E/S0      	12.76      	           
253.29700  	 23.96525  	   Ia pec  	 S         	17.78      	           
351.02138  	 16.66414  	   Ia pec  	 Sb        	16.57      	           
352.11158  	 22.41400  	   II P    	 Sbc       	11.96      	           
165.81683  	-16.76936  	   II      	 Sc        	15.28      	           
213.90463  	 14.28017  	   Ia      	 S0 pec    	13.32      	           
326.11367  	 14.89925  	   IIb     	 Sbc       	14.76      	           
203.68213  	  9.33631  	   IIb     	 Sc        	13.54      	           
216.99208  	 11.40942  	           	NA         	NA         	NA         
241.34804  	-16.14283  	:          	NA         	NA         	NA         
249.72571  	 21.81833  	           	NA         	NA         	NA         
214.89138  	  2.74597  	           	NA         	NA         	NA         
333.72004  	 17.51311  	   Ia      	 S         	17.58      	           
319.70592  	 -5.95300  	   Ia      	NA         	NA         	NA         
151.02825  	 31.20814  	           	 S0/a pec  	12.92      	           
207.15996  	 26.37236  	   II P    	NA         	NA         	NA         
230.55675  	 27.96703  	   Ia      	 S         	19.63      	           
336.28075  	 17.58406  	   II P    	NA         	NA         	NA         
 41.49317  	 -7.58342  	   II      	 Sc        	10.92      	           
 39.24254  	 -5.34533  	   Ib      	 Scd       	13.60      	           
230.62354  	 28.08011  	   Ia      	NA         	NA         	NA         
342.60971  	 10.91158  	   Ia      	 E/S0      	15.36      	           
170.07067  	 12.97961  	   II      	 Sb        	NA         	B          
245.55138  	 57.27292  	   Ia      	 S0/a      	14.67      	B          
  9.34079  	-19.94506  	   II P    	 Sbc       	12.62      	B          
350.98433  	 16.77500  	   Ia      	 E         	13.90      	           
341.44200  	 11.13286  	   II      	 Sbc       	14.28      	           
262.79225  	 36.42781  	   Ia      	 E/S0      	14.58      	           
 38.00129  	  1.24819  	   Ia      	 E         	13.73      	           
 44.59983  	  6.59308  	   Ia      	 S0/a      	14.21      	B          
182.65846  	 16.03919  	   II P    	 Sc        	12.48      	           
 10.14221  	  3.54142  	   Ia      	 Im        	18.77      	           
 14.19538  	 -1.59758  	   Ia      	 Sb        	16.11      	B          
223.37425  	 18.59197  	   Ib      	NA         	NA         	NA         
223.63717  	 18.66167  	   Ia      	NA         	NA         	NA         
342.30308  	 11.33733  	   Ia      	 E         	18.27      	           
334.11258  	 16.47028  	   Ic      	 Sab       	14.48      	           
 41.29333  	 -4.71372  	   Ia      	 Sc        	13.84      	           
261.54688  	 59.30869  	   Ia      	 S         	15.89      	           
 42.05792  	 34.41467  	   II P    	 Sc        	13.88      	B          
 39.54838  	 -1.31253  	   Ia      	 Sa        	12.74      	B          
238.87938  	 41.94833  	   Ia pec  	 S0/a      	15.07      	           
190.96338  	 -0.58178  	   Ia      	 Scd       	12.33      	           
 42.54838  	 47.05194  	   II P    	 Sc        	13.97      	           
246.71838  	 51.55667  	   II      	 Sbc       	14.53      	           
 44.55913  	  5.97203  	   Ia      	 S0        	15.63      	B          
 49.47092  	 40.95886  	   Ia      	NA         	NA         	NA         
345.67104  	 -9.99833  	           	NA         	NA         	NA         
260.92471  	 30.49728  	   Ia      	NA         	NA         	NA         
  7.48350  	 -4.58075  	   II      	 Sd        	16.38      	           
346.22075  	 12.33319  	   Ib      	 Sc        	11.21      	B          
222.29204  	 29.41956  	   II      	NA         	NA         	NA         
238.71867  	 32.08489  	   Ia      	NA         	NA         	NA         
336.78271  	 17.24350  	   Ia      	NA         	NA         	NA         
335.84550  	 -1.54069  	   Ia      	NA         	NA         	NA         
342.55858  	 10.55975  	   Ia      	NA         	NA         	NA         
342.91321  	 11.28214  	   Ia      	NA         	NA         	NA         
 10.17638  	 -9.53178  	   Ia      	NA         	NA         	NA         
349.42796  	 13.95686  	   Ia      	 Sb        	16.39      	           
145.24096  	 47.61778  	   IIb     	 Sc        	14.14      	           
114.40317  	 41.94914  	   II      	 Sbc       	13.70      	B          
318.04071  	 -1.47569  	   II      	 Sbc       	14.56      	           
 69.15321  	 -0.14322  	   IIb     	 Sc        	12.86      	           
243.03558  	 55.12814  	           	NA         	NA         	NA         
185.83479  	 46.30400  	           	NA         	NA         	NA         
186.28538  	 46.99561  	           	NA         	NA         	NA         
241.85288  	 54.00497  	           	NA         	NA         	NA         
243.22500  	 55.63717  	   II P    	NA         	NA         	NA         
244.48354  	 54.96703  	           	NA         	NA         	NA         
243.33438  	 53.97839  	           	NA         	NA         	NA         
243.53600  	 55.69497  	           	NA         	NA         	NA         
213.35504  	 52.85861  	           	NA         	NA         	NA         
 45.74588  	-14.81719  	   Ia      	 S         	20.11      	           
120.49325  	 15.05964  	   Ia      	 Sa        	14.83      	B          
129.06288  	 28.06714  	   Ia      	 Sc        	14.09      	           
333.95025  	  1.18483  	   Ia      	NA         	NA         	NA         
 37.11821  	 -4.07892  	   Ia      	NA         	NA         	NA         
 35.27750  	 -5.02328  	   Ia      	NA         	NA         	NA         
 35.30729  	 -3.90994  	   Ia      	NA         	NA         	NA         
 35.66696  	 -4.02731  	   Ia      	NA         	NA         	NA         
194.70042  	 27.67378  	   Ia pec  	 E/S0      	14.64      	           
342.45171  	 11.64633  	   II      	 S         	17.57      	           
 30.41504  	 15.33281  	   Ia      	 E         	15.98      	           
354.70804  	 28.26506  	   Ia      	 S         	17.80      	           
  5.71417  	  6.96994  	   Ia pec  	 S0        	14.35      	           
 48.13538  	 39.31167  	   Ic      	 Sb        	14.00      	           
 29.28608  	  4.08536  	   II P    	 Sbc       	16.41      	B          
 17.33950  	 14.33967  	   II P    	 Sb        	14.23      	B          
348.56013  	 -2.75331  	   Ia      	 S         	17.54      	           
162.81075  	  5.84967  	   II      	 Scd       	11.34      	           
 22.72704  	 18.61108  	   Ia      	 Sb        	18.40      	           
  4.11071  	 22.43614  	   Ia      	 Sd        	20.16      	           
 37.05038  	 31.31286  	   IIb     	 Sbc       	13.51      	           
175.07854  	  3.00511  	   II P    	 Sb        	14.64      	B          
 10.30292  	 -9.14806  	   Ia      	 S0        	16.92      	B          
  3.24775  	 14.68925  	   II P    	NA         	NA         	NA         
127.24250  	 -0.58675  	   IIn     	NA         	NA         	NA         
137.78833  	 19.99589  	   IIn     	NA         	NA         	NA         
162.10950  	 12.53411  	   II P    	 Sc        	12.12      	           
182.41608  	 43.67500  	   Ia      	NA         	NA         	NA         
175.98304  	 10.78200  	   Ia      	 Sd        	13.99      	           
358.38946  	-10.16386  	   Ia      	NA         	NA         	NA         
 44.09838  	 41.67544  	   Ia      	 S         	21.17      	           
 97.90367  	 25.32664  	   Ia      	NA         	NA         	NA         
138.60063  	 15.85286  	   Ia      	 S         	19.28      	           
140.99908  	 14.11325  	   Ia      	NA         	NA         	NA         
356.24925  	 -3.98714  	   Ia      	NA         	NA         	NA         
336.49817  	 17.22583  	   Ia      	 Sab       	18.02      	B          
159.98083  	 39.80303  	   Ia      	 S         	NA         	           
 60.74033  	 17.94075  	   Ia      	NA         	NA         	NA         
140.15717  	 33.64803  	   Ia pec  	 E/S0      	14.25      	           
167.69325  	 12.02072  	   II P    	 Sm        	13.61      	           
161.75592  	 26.54392  	   Ia      	 Sc        	14.04      	B          
173.28033  	 24.69189  	   Ia      	NA         	NA         	NA         
 30.22475  	 13.87092  	   Ia      	NA         	NA         	NA         
181.90254  	 20.70372  	   Ia      	NA         	NA         	NA         
 29.73738  	 -7.28286  	   IIb     	NA         	NA         	NA         
 24.36767  	 25.58061  	   Ia      	NA         	NA         	NA         
137.74588  	 15.61142  	   Ic      	NA         	NA         	NA         
166.65367  	 34.33100  	   IIn     	NA         	NA         	NA         
212.74467  	  6.36331  	   Ia      	 Sc        	13.51      	           
151.35225  	 51.27742  	   IIn     	NA         	NA         	NA         
188.48508  	 13.91917  	   IIn     	 Sb        	17.44      	           
192.97813  	 26.06764  	   Ia      	 S         	16.90      	           
186.77758  	  6.42592  	   Ic      	 Sb        	16.67      	           
348.82071  	 19.02292  	   Ia      	 Sc        	13.67      	B          
197.74563  	 11.49147  	   Ia pec  	 Sd        	14.01      	           
 33.90667  	 -3.42806  	   Ia      	NA         	NA         	NA         
347.76300  	 20.43878  	   Ia      	NA         	NA         	NA         
 35.15704  	  2.40408  	   II      	 Sdm       	18.96      	           
