RA	DEC	SNtype	Galtype	mag_g	bar
263.10868  	  7.06594  	   Ia      	 Sc        	10.98      	B          
NA         	NA         	           	NA         	NA         	NA         
  3.06421  	 28.65047  	           	 Sc        	15.88      	           
352.10280  	 18.45408  	           	 Sbc       	15.36      	           
339.02392  	 33.97083  	   I       	 Sbc       	13.38      	B          
NA         	NA         	           	NA         	NA         	NA         
 20.55075  	  0.95600  	   II P    	 Sd        	12.94      	           
 41.63665  	 -0.25078  	           	 Scd       	12.53      	           
162.11677  	 26.58294  	   Ia      	 Scd       	13.65      	B          
 22.23008  	 32.19828  	           	 Sc        	17.10      	           
228.67723  	 27.63253  	           	 S         	17.92      	           
168.70487  	 54.50039  	           	NA         	NA         	NA         
178.34298  	 20.75419  	           	 Sbc       	13.60      	B          
NA         	NA         	           	NA         	NA         	NA         
181.79643  	 53.66728  	           	 Sa        	14.67      	           
259.96940  	 65.92011  	           	NA         	NA         	NA         
348.74586  	 14.99114  	           	 Scd       	15.11      	B          
350.42255  	  8.87853  	   Ia      	 S0        	12.93      	B          
 17.24530  	 32.24825  	           	 S         	NA         	NA         
348.91076  	  7.30994  	           	 Sbc       	15.13      	           
  7.05070  	 30.80861  	           	 Sbc pec   	14.48      	B          
 19.85378  	  0.53933  	           	 Sbc       	17.16      	           
184.71097  	 14.44344  	   II P    	 Sc        	10.06      	           
140.49079  	 50.95714  	   Ia      	 Sb        	 9.90      	           
NA         	NA         	           	NA         	NA         	NA         
200.08849  	 31.51500  	           	 Sc        	14.49      	B          
168.04987  	 27.63314  	           	 S0        	15.02      	           
228.78178  	  2.74733  	   I       	 Sm        	16.25      	           
170.90653  	 53.84047  	           	 Sa pec    	12.49      	           
168.01893  	 27.58700  	           	 E         	14.05      	           
195.96667  	 28.18639  	   I       	 S0        	13.56      	           
351.92711  	 14.54306  	           	 Sc        	15.35      	           
349.88257  	  9.50325  	           	 S         	NA         	           
347.23423  	 12.04606  	   Ia      	 Scd       	13.34      	           
339.35221  	 34.36650  	           	 Sb        	13.59      	B          
351.33016  	  6.34067  	           	 Sm        	17.38      	           
170.04845  	 12.99844  	   II P    	 Sb        	NA         	B          
356.19322  	 25.69500  	           	 E         	16.23      	           
349.81423  	 13.90275  	           	 Sc        	15.72      	           
 10.58521  	 29.64667  	   II      	 Sc        	13.57      	B          
168.08278  	 54.02644  	   II      	 Sbc       	14.88      	B          
182.70127  	 39.47697  	           	 Sb        	13.58      	B          
159.69478  	 53.49947  	           	 Sbc pec   	10.87      	           
177.72919  	 55.15222  	           	 Sbc       	14.18      	           
160.96096  	 14.02097  	           	 S0/a      	17.09      	           
186.62177  	 31.20792  	   Ia      	 Sc        	NA         	NA         
351.11508  	 13.96975  	           	 S0        	13.88      	           
262.85367  	 43.35753  	           	 Sb        	15.86      	B          
339.66110  	 34.06678  	   Ia      	 Sb        	13.99      	B          
 22.76713  	 32.33267  	           	 Sbc       	16.69      	B          
