SNtype	mag_g	bar	Galtype2
Ia   	13.98	     	S    
Ia   	14.50	B    	S    
Ia   	16.61	     	S    
Ia   	13.43	     	S    
Ia   	13.48	B    	S0   
CC   	14.41	     	S    
Ia   	14.58	     	S    
CC   	14.39	B    	S    
CC   	13.64	     	S0   
Ia   	13.97	     	S0   
Ia   	14.17	     	S0   
CC   	14.53	     	S    
CC   	12.62	     	S    
Ia   	17.41	     	S    
Ia   	17.56	     	S    
Ia   	14.41	B    	S    
Ia   	18.13	     	S    
CC   	17.40	     	S    
Ia   	19.05	     	S    
Ia   	17.18	     	S    
Ia   	17.27	     	S    
Ia   	19.42	     	S    
Ia   	21.31	     	S    
CC   	14.51	     	S    
Ia   	18.37	     	S    
Ia   	18.04	     	S    
Ia   	17.95	     	S    
Ia   	16.61	     	S0   
CC   	16.23	     	S    
Ia   	14.77	     	S    
CC   	13.79	     	S    
Ia   	17.34	     	S    
Ia   	16.71	     	S    
Ia   	14.73	B    	S    
Ia   	20.11	     	S    
Ia   	19.72	     	S    
CC   	17.43	     	S    
Ia   	17.23	     	S    
Ia   	19.01	     	S    
Ia   	16.62	     	S    
Ia   	18.13	     	S    
CC   	15.19	B    	S    
Ia   	18.67	     	Im   
Ia   	17.80	B    	S    
CC   	17.35	     	S    
CC   	16.53	     	S    
Ia   	19.49	     	S    
Ia   	17.60	B    	S    
CC   	16.01	     	S    
Ia   	16.67	     	S    
CC   	16.16	     	S    
CC   	16.51	B    	S    
CC   	17.53	     	S    
CC   	19.19	     	S    
CC   	15.13	     	S    
CC   	14.49	B    	S    
CC   	16.87	     	S    
Ia   	19.42	     	S    
Ia   	17.93	     	S    
Ia   	19.30	     	S    
Ia   	19.05	     	S    
Ia   	14.49	     	S0   
CC   	20.24	     	S    
CC   	13.21	     	S    
CC   	14.91	B    	S    
CC   	18.04	     	Im   
CC   	13.96	B    	S    
Ia   	18.61	B    	S    
Ia   	14.78	B    	S    
Ia   	20.24	     	S    
Ia   	18.27	     	S    
Ia   	18.23	     	S    
Ia   	20.11	     	S    
Ia   	16.81	     	S    
CC   	16.06	     	S    
Ia   	16.81	     	S    
CC   	14.89	     	S    
Ia   	14.90	     	S    
Ia   	17.58	     	S    
Ia   	17.65	     	S    
Ia   	14.18	     	S0   
Ia   	13.03	     	S    
Ia   	14.73	     	S    
Ia   	15.91	     	S    
CC   	17.93	     	S    
Ia   	18.92	     	E/S0 
Ia   	19.19	     	S    
Ia   	20.55	     	S    
Ia   	18.64	     	S    
CC   	19.36	     	S    
Ia   	17.86	     	S    
Ia   	17.07	     	S    
Ia   	14.30	B    	S    
Ia   	18.44	     	S    
Ia   	17.95	B    	S    
Ia   	19.56	     	S    
Ia   	17.69	     	S    
CC   	16.75	     	S    
CC   	16.30	B    	S    
CC   	17.59	     	S0   
Ia   	17.50	     	Im   
Ia   	15.28	     	S    
Ia   	13.67	     	S    
CC   	13.03	     	S    
Ia   	15.32	B    	S    
Ia   	15.40	B    	S    
CC   	13.16	B    	S    
Ia   	18.00	     	S    
Ia   	13.81	B    	S    
CC   	10.95	     	S    
CC   	15.68	     	S    
CC   	13.73	     	S    
Ia   	11.81	B    	S    
CC   	16.51	     	S    
CC   	11.80	B    	S    
CC   	13.03	     	S    
Ia   	12.33	     	E    
Ia   	14.14	     	S0   
Ia   	14.98	     	S0   
CC   	14.08	     	S    
Ia   	12.75	     	S0   
Ia   	13.03	     	S0   
Ia   	14.77	B    	S    
Ia   	13.68	     	S    
Ia   	14.57	B    	S    
Ia   	17.68	B    	S    
Ia   	11.58	     	S    
CC   	17.90	     	S    
CC   	14.75	     	S    
CC   	15.20	B    	S    
CC   	19.05	     	S    
CC   	16.26	     	S    
Ia   	15.26	     	S    
Ia   	15.38	     	S0   
Ia   	13.04	     	E    
CC   	14.04	     	S    
Ia   	15.22	     	S    
Ia   	13.90	     	S0   
Ia   	16.38	     	S    
Ia   	15.15	     	S    
CC   	14.22	B    	S    
Ia   	17.89	     	S    
Ia   	16.18	     	S0   
Ia   	18.47	     	S    
Ia   	16.03	     	S    
Ia   	17.07	B    	S    
CC   	17.63	     	S    
Ia   	17.92	     	S    
Ia   	18.52	     	S    
Ia   	18.27	     	S    
CC   	16.26	     	S    
CC   	18.34	     	S    
Ia   	17.73	     	Im   
CC   	19.63	     	S    
Ia   	18.58	     	S    
CC   	17.43	     	S    
Ia   	17.29	     	S    
Ia   	17.86	     	S    
