SNtype	mag_g	bar	Galtype2
Ic   	13.91	     	S    
Ia   	11.96	     	S    
Ia   	13.41	     	S0   
Ia   	14.82	B    	S    
II   	14.24	     	S    
Ib/c 	13.98	     	S    
IIn  	13.34	     	S    
Ia   	15.07	B    	S    
Ia   	14.26	     	E    
Ia   	13.28	     	S0   
II   	13.79	     	S    
II   	14.99	     	S    
II   	15.31	B    	S    
Ia   	17.59	     	S    
Ia   	15.88	     	S0   
II   	15.97	     	S    
Ia   	16.84	     	S    
II   	16.89	     	S    
IIn  	12.16	B    	S    
Ia   	11.75	     	S    
Ia   	18.58	     	S    
II   	20.00	     	S    
Ia   	14.80	B    	S    
Ia   	19.01	     	S    
II   	13.86	     	S    
Ia   	17.06	     	S    
Ia   	16.04	     	S    
Ia   	12.23	     	S    
II   	13.73	     	S    
II   	16.71	B    	S    
Ia   	11.17	     	E/S0 
II   	14.13	B    	S    
Ic   	12.70	     	S    
Ic   	12.95	B    	S    
Ia   	13.78	     	E/S0 
Ia   	13.79	     	S    
Ib   	14.23	     	S    
Ia   	14.01	B    	S    
Ia   	19.05	     	S    
Ia   	17.45	     	S    
II   	18.21	     	S    
Ia   	19.30	     	S    
Ic   	12.68	B    	S    
II   	16.65	     	S    
Ia   	14.05	     	S    
Ib/c 	12.12	     	S    
Ic   	14.23	     	S    
Ia   	13.21	     	S    
Ia   	12.90	B    	S    
Ia   	16.76	     	S    
II   	18.17	     	S    
Ib/c 	14.92	     	S    
Ia   	11.80	B    	S    
II   	14.88	     	S    
II   	16.02	     	S    
Ia   	17.70	     	S    
Ia   	15.70	     	S    
Ia   	14.20	     	S    
Ia   	17.02	     	S    
Ia   	16.17	     	S    
Ia   	14.53	     	E    
Ia   	13.37	     	E/S0 
Ia   	16.96	     	S    
Ia   	16.11	     	S    
Ia   	17.84	     	S    
II   	13.55	     	S    
II   	12.95	     	S    
Ic   	13.21	B    	S    
Ib   	14.29	     	S    
II   	14.22	B    	S    
II   	13.48	     	S    
II   	14.06	     	S    
II   	13.70	     	S    
Ia   	15.11	     	S    
Ia   	13.04	     	S    
Ic   	14.04	     	S    
II   	15.64	     	S    
II   	15.46	     	S    
Ic   	15.72	     	S    
Ia   	12.23	     	S    
Ia   	14.55	B    	S    
IIn  	14.58	B    	S    
Ia   	14.74	     	S    
IIn  	16.37	     	S    
II   	14.00	     	S    
Ia   	17.39	     	S    
Ic   	13.60	B    	S    
Ia   	12.49	     	S0   
Ia   	15.47	B    	S    
Ia   	14.52	     	S    
Ia   	14.87	B    	S    
IIn  	13.94	     	S    
Ia   	15.34	     	S    
Ib   	13.28	     	S    
Ia   	12.77	     	S    
Ia   	15.40	     	S    
II   	14.56	B    	S    
II   	15.01	     	S    
II   	15.11	     	S    
Ia   	14.83	B    	S    
II   	12.22	     	S    
Ia   	14.36	     	E/S0 
II   	14.99	     	S    
Ia   	15.99	     	S    
II   	13.37	     	S    
II   	11.03	     	S    
Ia   	13.89	     	S    
Ic   	15.36	B    	S    
Ia   	15.36	B    	S    
Ia   	15.83	     	S    
Ia   	17.22	     	S0   
IIn  	13.91	     	S    
Ib   	14.34	     	S    
Ia   	13.96	     	S0   
Ia   	13.92	     	E/S0 
Ib/c 	18.59	     	S    
Ia   	14.50	     	S    
Ia   	15.35	     	S    
II   	15.60	     	S    
II   	11.03	     	S    
Ia   	14.74	B    	S    
Ia   	15.28	     	S    
II   	13.62	     	S    
II   	13.59	     	S    
Ia   	14.35	     	E    
II   	12.11	     	S    
Ia   	13.82	     	S    
II   	13.96	B    	S    
II   	14.90	B    	S    
Ib/c 	16.40	     	S    
Ia   	14.00	     	E    
Ia   	14.56	B    	S    
Ia   	13.53	     	E    
IIn  	14.44	B    	S    
Ia   	13.83	     	E    
II   	14.75	B    	S    
II   	14.96	     	S    
II   	15.51	     	S    
Ia   	15.80	     	E    
Ic   	13.23	     	S    
II   	15.24	     	S    
Ia   	14.61	B    	S    
II   	14.34	     	S    
II   	19.36	     	S    
II   	13.92	     	S    
Ia   	13.92	     	S    
Ia   	15.52	     	S0   
II   	14.24	     	S    
Ia   	15.56	     	S    
Ia   	16.60	     	S    
II   	13.86	     	S    
Ia   	14.08	     	S    
Ia   	13.36	B    	S    
Ia   	13.74	     	S0   
II   	11.95	     	S    
II   	11.87	     	S    
II   	15.35	     	S    
II   	14.94	     	S    
Ia   	14.97	     	S0   
II   	14.11	     	S    
Ia   	16.47	     	S    
Ia   	15.81	     	S    
II   	14.45	     	S    
Ic   	13.55	B    	S    
Ia   	13.84	     	S0   
Ia   	14.70	B    	S0   
Ia   	12.91	B    	S    
Ic   	14.20	     	S    
Ia   	13.82	     	E    
Ia   	14.25	B    	S    
Ia   	14.79	B    	S    
Ic   	12.27	     	S    
II   	14.07	     	S    
Ia   	15.25	     	S    
Ib   	13.75	B    	S    
Ic   	15.49	     	S    
Ia   	14.73	     	S    
Ic   	12.66	     	S    
Ic   	11.22	     	S    
II   	13.30	     	S    
Ia   	18.00	     	S    
Ia   	14.98	     	S    
Ia   	17.92	     	S    
II   	13.70	     	S    
Ia   	18.34	     	S    
Ia   	16.14	     	S    
Ia   	17.44	     	S    
Ia   	15.72	     	S    
Ia   	14.83	     	S    
Ia   	15.55	     	S    
II   	14.20	B    	S    
Ic   	14.03	     	S    
II   	11.94	     	S    
II   	14.48	     	S    
Ia   	13.15	     	S0   
Ib   	12.13	     	S    
Ia   	13.15	B    	S    
II   	13.93	     	S    
Ia   	15.17	     	S    
II   	14.94	     	S    
IIn  	14.93	     	S    
Ia   	14.10	B    	S    
II   	15.98	     	S    
II   	13.73	     	S    
II   	16.25	     	S    
II   	12.88	     	S    
II   	13.60	     	S    
II   	14.17	B    	S    
Ia   	14.50	B    	S    
II   	11.92	     	S    
IIn  	13.11	B    	S    
Ia   	12.10	     	E/S0 
Ic   	12.83	     	S    
Ia   	14.85	     	S    
Ia   	14.68	B    	S    
Ia   	12.73	     	S    
II   	11.81	     	S    
Ic   	14.44	     	S    
Ia   	15.79	     	S    
Ic   	11.08	     	S    
II   	14.20	     	S    
Ia   	14.65	     	S0   
Ia   	17.98	     	S    
Ib/c 	13.37	     	S    
II   	14.94	B    	S    
II   	18.67	     	S    
Ia   	13.73	     	S0   
Ia   	19.19	     	S    
II   	17.07	B    	S    
Ia   	16.79	     	S    
II   	17.28	     	S    
II   	17.89	     	S    
II   	14.14	B    	S    
Ic   	18.74	     	S    
II   	17.27	     	S    
Ia   	17.97	     	S    
Ia   	18.61	     	S    
Ia   	15.14	B    	S    
Ia   	14.94	B    	S    
Ia   	13.47	     	S    
II   	14.85	     	S    
II   	17.20	     	S    
Ia   	 9.52	     	E    
Ia   	16.61	     	S    
II   	15.49	     	S    
Ia   	12.80	     	S    
II   	14.81	     	S    
II   	13.66	     	S    
II   	12.83	B    	S    
Ia   	16.51	     	S    
Ic   	15.68	     	S    
Ia   	15.84	     	S0   
Ia   	14.55	     	S    
IIn  	14.07	     	S    
II   	13.51	     	S    
Ic   	13.46	B    	S    
II   	14.67	B    	S    
II   	13.69	     	S    
Ia   	13.35	B    	S    
Ia   	15.73	     	S    
Ib   	13.25	B    	S    
Ia   	14.87	     	S    
Ic   	14.35	B    	S    
II   	14.39	     	S    
Ic   	14.79	B    	S    
Ic   	14.33	     	S    
Ia   	13.36	     	S0   
Ia   	16.94	     	S0   
II   	17.15	     	S    
II   	15.04	     	S    
II   	14.63	B    	S    
Ia   	17.27	     	S    
II   	14.02	B    	S    
Ib   	16.43	B    	S    
Ia   	18.74	B    	S    
Ib/c 	13.31	B    	S    
II   	14.48	B    	S    
IIn  	13.42	B    	S    
IIn  	14.73	B    	S    
Ia   	16.13	     	S    
II   	14.19	     	S    
II   	15.23	     	S    
Ia   	14.27	     	S0   
II   	13.38	B    	S    
II   	12.78	B    	S    
II   	18.05	     	Im   
II   	14.31	     	S    
Ib/c 	12.25	     	S0   
II   	14.78	     	S    
II   	16.87	     	Im   
Ia   	18.13	     	S    
Ia   	20.39	     	S    
Ic   	13.12	     	S    
II   	13.83	     	S    
Ic   	13.83	     	S    
Ia   	14.74	     	S    
II   	14.86	     	S    
Ia   	18.11	     	S    
