RA	DEC	SNtype	mag_g	bar	redshift	Galtype2
 41.77867	 -2.96219	CC       	14.71    	         	 0.02540 	S        
 38.18083	 22.45222	Ia       	16.58    	         	 0.07000 	E/S0     
 70.93138	 -5.32217	CC       	13.31    	B        	 0.01624 	S        
184.95083	 29.62269	CC       	11.14    	         	 0.00310 	S        
171.57358	 46.97575	CC       	13.69    	         	 0.02489 	S        
122.55708	 33.95828	IIn      	12.70    	         	 0.01758 	S        
129.60254	 25.75919	Ia       	13.98    	         	 0.01818 	S        
 14.18233	 -9.91194	CC       	12.30    	B        	 0.01884 	S        
153.40417	 -0.93600	Ia       	13.53    	         	 0.04435 	E        
 51.99517	 39.90528	CC       	14.62    	         	 0.01446 	S        
157.33000	 26.10561	Ia       	13.92    	         	 0.01696 	S        
190.96629	 -0.54872	CC       	12.33    	         	 0.00874 	S        
 14.41696	 43.79322	CC       	13.96    	         	 0.01771 	S        
188.45133	 15.18006	CC       	12.50    	B        	 0.00084 	S        
182.29713	 29.27631	Ia       	16.14    	         	 0.01288 	S        
120.77525	  3.41433	CC       	15.57    	B        	 0.03579 	S        
161.03633	 -0.81792	CC       	16.90    	         	 0.06112 	S        
133.63429	 36.51142	Ia       	15.54    	B        	 0.02504 	S        
155.65513	 27.35550	IIn      	15.68    	B        	 0.05083 	S        
351.99542	  8.78392	Ia       	15.27    	         	 0.02890 	S        
118.28500	 50.12647	CC       	14.86    	B        	 0.01933 	S        
253.24221	  2.39736	IIn      	13.27    	         	 0.02426 	S        
256.72779	 43.11158	CC       	14.87    	         	 0.02777 	S        
174.97879	 -4.37122	Ia       	17.26    	         	 0.09550 	S0       
114.23796	 35.24417	CC       	12.51    	         	 0.01267 	S        
240.38396	  1.70639	CC       	13.26    	         	 0.00643 	S        
121.28938	 66.78756	Ia       	13.93    	B        	 0.01630 	S        
239.93967	 18.80361	CC       	14.22    	B        	 0.02939 	S        
183.24763	  7.30017	Ia       	16.43    	         	 0.00727 	S        
239.35246	 41.90056	CC       	15.63    	B        	 0.03867 	S        
241.36508	 17.83022	Ia       	17.24    	         	 0.03423 	S        
245.33892	 40.80269	CC       	14.81    	         	 0.02986 	S        
209.65988	 37.43692	CC       	12.16    	         	 0.01158 	S        
255.26517	 33.47917	IIn      	15.66    	B        	 0.02960 	S        
183.92588	 61.89000	Ia       	14.83    	B        	 0.02025 	S        
356.85458	 28.38772	Ia       	14.85    	         	 0.03013 	S        
  0.77717	 -1.91161	CC       	13.92    	         	 0.02426 	S        
186.30071	 54.50797	CC       	13.38    	         	 0.00841 	S        
243.55092	  6.15017	Ia       	15.58    	         	 0.03935 	S0       
  1.55754	  8.88819	Ia       	15.46    	B        	 0.03850 	S        
 16.84800	 32.40644	Ia       	13.51    	         	 0.01743 	E        
 25.52404	  7.66617	Ia       	14.69    	         	 0.06091 	E        
346.27442	 -3.20028	Ia       	14.60    	B        	 0.03207 	S        
 32.08742	  1.18356	CC       	15.09    	         	 0.04231 	S        
137.90117	 60.02869	CC       	10.54    	         	 0.00469 	S0       
113.83242	 19.04542	CC       	13.07    	         	 0.02843 	S        
134.18083	 52.10367	CC       	12.98    	         	 0.01350 	S        
